,PassengerId,Survived_(y),Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
80,81,1,1,81,1,1,2,1,79,59,8,1
81,82,2,1,82,1,29,2,1,80,60,8,1
82,83,2,1,83,2,5,2,1,81,61,8,3
83,84,1,2,84,1,18,2,1,82,62,8,1
84,85,2,3,85,2,35,2,1,83,30,8,1
85,86,2,1,86,2,41,3,1,84,63,8,1
86,87,1,1,87,1,37,1,5,85,64,8,1
87,88,1,1,88,1,5,2,1,86,5,8,1
88,89,2,2,89,2,42,3,3,27,24,8,1
89,90,1,1,90,1,43,2,1,87,5,17,1
90,91,1,1,91,1,29,2,1,88,5,17,1
91,92,1,1,92,1,12,2,1,89,14,17,1
92,93,1,2,93,1,44,1,1,90,65,17,1
93,94,1,1,94,1,3,1,3,91,66,18,1
94,95,1,1,95,1,45,2,1,92,1,18,1
95,96,1,1,96,1,5,2,1,93,5,18,1
96,97,1,2,97,1,46,2,1,94,67,18,2
97,98,2,2,98,1,42,2,2,95,68,19,2
98,99,2,3,99,2,16,2,2,96,69,20,1
99,100,1,3,100,1,16,1,1,97,20,20,1
100,101,1,1,101,2,18,2,1,98,26,20,1
101,102,1,1,102,1,5,2,1,99,26,20,1
102,103,1,2,103,1,24,2,2,100,70,20,1
103,104,1,1,104,1,41,2,1,101,71,21,1
104,105,1,1,105,1,47,5,1,102,3,21,1
105,106,1,1,106,1,18,2,1,103,26,21,1
106,107,2,1,107,2,24,2,1,104,56,21,1
107,108,2,1,108,1,5,2,1,105,72,21,1
108,109,1,1,109,1,2,2,1,106,26,21,1
109,110,2,1,110,2,5,1,1,107,73,21,3
110,111,1,2,111,1,48,2,1,108,32,21,1
111,112,1,1,112,2,49,1,1,109,54,22,2
112,113,1,1,113,1,1,2,1,110,5,22,1
113,114,1,1,114,2,12,1,1,111,74,22,1
114,115,1,1,115,2,35,2,1,112,75,22,2
115,116,1,1,116,1,24,2,1,113,3,22,1
116,117,1,1,117,1,50,2,1,114,29,22,3
117,118,1,3,118,1,29,1,1,41,36,22,1
118,119,1,2,119,1,43,2,2,115,76,22,2
119,120,1,1,120,2,7,4,3,14,13,23,1
120,121,1,3,121,1,24,5,1,71,53,23,1
121,122,1,1,122,1,5,2,1,116,5,23,1
122,123,1,3,123,1,51,1,1,10,10,23,2
123,124,2,3,124,2,51,2,1,117,17,23,1
124,125,1,2,125,1,6,2,2,100,70,20,1
125,126,2,1,126,1,52,1,1,39,34,24,2
126,127,1,1,127,1,5,2,1,118,29,24,3
127,128,2,1,128,1,43,2,1,119,77,24,1
128,129,2,1,129,2,5,1,2,120,78,24,2
129,130,1,1,130,1,34,2,1,121,79,25,1
130,131,1,1,131,1,41,2,1,122,26,25,2
131,132,1,1,132,1,12,2,1,123,80,25,1
132,133,1,1,133,2,48,1,1,124,81,25,1
133,134,2,3,134,2,29,1,1,125,20,25,1
134,135,1,3,135,1,38,2,1,126,17,25,1
135,136,1,3,136,1,42,2,1,127,82,25,2
136,137,2,2,137,2,20,2,3,128,83,25,1
137,138,1,2,138,1,47,1,1,4,4,2,1
138,139,1,1,139,1,37,2,1,129,84,26,1
139,140,1,2,140,1,43,2,1,130,85,26,2
140,141,1,1,141,2,5,2,3,131,50,27,2
141,142,2,1,142,2,1,2,1,132,29,27,1
142,143,2,1,143,2,43,1,1,133,63,27,1
143,144,1,1,144,1,20,2,1,134,86,27,3
144,145,1,3,145,1,25,2,1,135,87,27,1
145,146,1,3,146,1,20,1,2,136,88,27,1
146,147,2,1,147,1,8,2,1,137,89,27,1
147,148,1,1,148,2,53,5,3,85,64,27,1
148,149,1,3,149,1,54,2,3,138,20,27,1
149,150,1,3,150,1,23,2,1,139,17,28,1
150,151,1,3,151,1,55,2,1,140,90,28,1
151,152,2,2,152,2,1,1,1,141,91,28,1
152,153,1,1,153,1,56,2,1,142,5,29,1
153,154,1,1,154,1,57,2,3,143,81,29,1
154,155,1,1,155,1,5,2,1,144,92,29,1
155,156,1,2,156,1,55,2,2,145,93,29,2
156,157,2,1,157,2,37,2,1,146,94,29,3
157,158,1,1,158,1,40,2,1,147,5,29,1
158,159,1,1,159,1,5,2,1,148,52,29,1
159,160,1,1,160,1,5,7,3,149,95,29,1
160,161,1,1,161,1,58,2,2,150,96,29,1
161,162,2,3,162,2,21,2,1,151,97,29,1
162,163,1,1,163,1,3,2,1,152,72,29,1
163,164,1,1,164,1,35,2,1,153,52,29,1
164,165,1,1,165,1,59,4,2,50,41,29,1
165,166,2,1,166,1,53,2,3,154,98,29,1
166,167,2,2,167,2,5,2,2,155,99,29,1
167,168,1,1,168,2,34,1,6,63,49,30,1
168,169,1,2,169,1,5,2,1,156,100,30,1
169,170,1,1,170,1,18,2,1,73,55,30,1
170,171,1,2,171,1,60,2,1,157,101,30,1
171,172,1,1,172,1,10,4,2,17,16,31,3
172,173,2,1,173,2,59,1,2,9,9,31,1
173,174,1,1,174,1,24,2,1,158,3,31,1
174,175,1,2,175,1,61,2,1,159,102,31,2
175,176,1,1,176,1,25,1,2,160,14,32,1
176,177,1,1,177,1,5,3,2,161,103,32,1
177,178,1,2,178,2,62,2,1,162,104,32,2
178,179,1,3,179,1,40,2,1,163,17,33,1
179,180,1,1,180,1,63,2,1,164,105,33,1
180,181,1,1,181,2,5,7,3,149,95,33,1
181,182,1,3,182,1,5,2,1,165,106,33,2
182,183,1,1,183,1,53,4,3,25,23,33,1
183,184,2,3,184,1,59,5,2,166,107,33,1
184,185,2,1,185,2,10,2,3,167,108,34,1
185,186,1,2,186,1,5,2,1,168,109,34,1
186,187,2,1,187,2,5,1,1,169,38,27,3
187,188,2,2,188,1,34,2,1,170,12,27,1
188,189,1,1,189,1,21,1,2,171,38,27,3
189,190,1,1,190,1,63,2,1,172,26,27,1
190,191,2,3,191,2,36,2,1,173,17,27,1
191,192,1,3,192,1,20,2,1,174,17,27,1
192,193,2,1,193,2,20,1,1,175,14,27,1
193,194,2,3,194,1,26,1,2,138,20,27,1
194,195,2,2,195,2,58,2,1,176,27,35,2
195,196,2,2,196,2,11,2,1,31,28,36,2
196,197,1,1,197,1,5,2,1,177,29,4,3
197,198,1,1,198,1,23,2,2,178,110,4,1
198,199,2,1,199,2,5,2,1,179,29,4,3
199,200,1,3,200,2,43,2,1,180,17,4,1
200,201,1,1,201,1,18,2,1,181,60,4,1
201,202,1,1,202,1,5,7,3,149,95,4,1
202,203,1,1,203,1,16,2,1,182,111,4,1
203,204,1,1,204,1,64,2,1,183,19,4,2
204,205,2,1,205,1,25,2,1,184,5,4,1
205,206,1,1,206,2,7,2,2,185,112,4,1
206,207,1,1,207,1,36,1,1,84,63,37,1
207,208,2,1,208,1,3,2,1,186,113,37,2
208,209,2,1,209,2,37,2,1,187,29,37,3
209,210,2,2,210,1,21,2,1,188,114,37,2
210,211,1,1,211,1,43,2,1,189,80,38,1
211,212,2,3,212,2,4,2,1,190,36,38,1
212,213,1,1,213,1,1,2,1,191,1,38,1
213,214,1,3,214,1,40,2,1,192,17,38,1
214,215,1,1,215,1,5,1,1,193,29,38,3
215,216,2,2,216,2,15,1,1,194,115,38,2
216,217,2,1,217,2,8,2,1,195,3,39,1
217,218,1,3,218,1,23,1,1,196,116,39,1
218,219,2,2,219,2,36,2,1,197,117,39,2
219,220,1,3,220,1,40,2,1,198,30,40,1
220,221,2,1,221,1,37,2,1,199,5,40,1
221,222,1,3,222,1,8,2,1,200,17,40,1
222,223,1,1,223,1,55,2,1,201,5,40,1
223,224,1,1,224,1,5,2,1,202,26,40,1
224,225,2,2,225,1,2,1,1,203,118,40,1
225,226,1,1,226,1,1,2,1,204,119,14,1
226,227,2,3,227,1,20,2,1,205,30,14,1
227,228,1,1,228,1,65,2,1,206,1,14,1
228,229,1,3,229,1,25,2,1,207,17,14,1
229,230,1,1,230,2,5,3,2,161,103,14,1
230,231,2,2,231,2,4,1,1,62,48,14,1
231,232,1,1,232,1,29,2,1,208,72,41,1
232,233,1,3,233,1,45,2,1,209,120,41,1
233,234,2,1,234,2,32,4,3,25,23,41,1
234,235,1,3,235,1,43,2,1,210,30,41,1
235,236,1,1,236,2,5,2,1,211,121,41,1
236,237,1,3,237,1,58,1,1,212,20,41,1
237,238,2,3,238,2,19,2,3,213,122,41,1
238,239,1,3,239,1,20,2,1,214,30,41,1
239,240,1,3,240,1,41,2,1,215,123,41,1
240,241,1,1,241,2,5,1,1,109,54,41,2
241,242,2,1,242,2,5,1,1,216,38,41,3
242,243,1,3,243,1,29,2,1,217,30,41,1
243,244,1,1,244,1,1,2,1,218,124,41,1
244,245,1,1,245,1,40,2,1,219,19,41,2
245,246,1,2,246,1,58,5,1,220,118,41,3
246,247,1,1,247,2,38,2,1,221,72,42,1
247,248,2,3,248,2,43,2,3,222,81,42,1
248,249,2,2,249,1,47,1,2,223,125,42,1
249,250,1,3,250,1,6,1,1,224,20,4,1
250,251,1,1,251,1,5,2,1,225,1,4,1
251,252,1,1,252,2,29,1,2,185,112,4,1
252,253,1,2,253,1,66,2,1,226,12,43,1
253,254,1,1,254,1,40,1,1,227,96,44,1
254,255,1,1,255,2,67,2,3,228,126,44,1
255,256,2,1,256,2,29,2,3,229,50,44,2
256,257,2,2,257,2,5,2,1,230,85,44,2
257,258,2,2,258,2,40,2,1,231,127,44,1
258,259,2,2,259,2,4,2,1,232,128,45,2
259,260,2,3,260,2,62,2,2,233,20,45,1
260,261,1,1,261,1,5,2,1,234,29,45,3
261,262,2,1,262,1,26,4,3,25,23,45,1
262,263,1,2,263,1,68,1,2,235,129,45,1
263,264,1,2,264,1,21,2,1,236,105,46,1
264,265,1,1,265,2,5,2,1,237,29,47,3
265,266,1,3,266,1,63,2,1,238,30,47,1
266,267,1,1,267,1,37,4,2,50,41,47,1
267,268,2,1,268,1,38,1,1,239,72,47,1
268,269,2,2,269,2,11,2,2,240,130,47,1
269,270,2,2,270,2,4,2,1,241,131,48,1
270,271,1,2,271,1,5,2,1,242,114,49,1
271,272,2,1,272,1,38,2,1,164,105,49,1
272,273,2,3,273,2,67,2,2,243,132,49,1
273,274,1,2,274,1,47,2,2,244,133,49,2
274,275,2,1,275,2,5,2,1,245,29,50,3
275,276,2,2,276,2,69,1,1,246,134,50,1
276,277,1,1,277,2,34,2,1,247,29,51,1
277,278,1,3,278,1,5,2,1,248,105,51,1
278,279,1,1,279,1,27,4,2,17,16,51,3
279,280,2,1,280,2,4,1,2,249,135,51,1
280,281,1,1,281,1,30,2,1,250,29,51,3
281,282,1,1,282,1,18,2,1,251,14,51,1
282,283,1,1,283,1,37,2,1,252,60,51,1
283,284,2,1,284,1,20,2,1,253,5,51,1
284,285,1,2,285,1,5,2,1,254,20,51,1
285,286,1,1,286,1,41,2,1,255,52,52,2
286,287,2,1,287,1,40,2,1,256,60,52,1
287,288,1,1,288,1,1,2,1,257,26,52,1
288,289,2,3,289,1,23,2,1,258,17,52,1
289,290,2,1,290,2,1,2,1,259,29,52,3
290,291,2,2,291,2,3,2,1,260,136,52,1
291,292,2,2,292,2,20,1,1,261,137,52,2
292,293,1,3,293,1,63,2,1,262,138,53,2
293,294,1,1,294,2,43,2,1,263,139,54,1
294,295,1,1,295,1,43,2,1,264,26,54,1
295,296,1,2,296,1,5,2,1,265,27,54,2
296,297,1,1,297,1,70,2,1,266,33,54,2
297,298,1,2,298,2,7,1,3,267,140,54,1
298,299,2,2,299,1,5,2,1,268,141,55,1
299,300,2,2,300,2,62,2,2,115,76,22,2
300,301,2,1,301,2,5,2,1,269,29,23,3
301,302,2,1,302,1,5,5,1,270,142,23,3
302,303,1,1,303,1,20,2,1,164,105,23,1
303,304,2,3,304,2,5,2,1,271,143,23,3
304,305,1,1,305,1,5,2,1,272,5,54,1
305,306,2,2,306,1,71,1,3,267,140,54,1
306,307,2,2,307,2,5,2,1,273,144,56,2
307,308,2,2,308,2,35,1,1,274,145,56,2
308,309,1,3,309,1,40,1,1,275,146,57,2
309,310,2,2,310,2,40,2,1,276,147,57,2
310,311,2,2,311,2,43,2,1,277,148,58,2
311,312,2,2,312,2,25,5,3,278,149,59,2
312,313,1,3,313,2,3,1,2,279,20,60,1
313,314,1,1,314,1,18,2,1,280,26,60,1
314,315,1,3,315,1,72,1,2,281,122,60,1
315,316,2,1,316,2,3,2,1,282,14,60,1
316,317,2,3,317,2,43,1,1,97,20,60,1
317,318,1,3,318,1,6,2,1,283,150,60,1
318,319,2,2,319,2,15,2,3,284,151,60,1
319,320,2,2,320,2,21,1,2,285,152,61,2
320,321,1,1,321,1,1,2,1,286,1,62,1
321,322,1,1,322,1,8,2,1,287,26,62,1
322,323,2,3,323,2,40,2,1,288,143,62,3
323,324,2,3,324,2,1,1,2,77,57,62,1
324,325,1,1,325,1,5,7,3,149,95,62,1
325,326,2,2,326,2,63,2,1,241,131,62,2
326,327,1,1,327,1,60,2,1,289,153,53,1
327,328,2,3,328,2,63,2,1,290,17,53,1
328,329,2,1,329,2,15,1,2,154,98,63,1
329,330,2,2,330,2,37,2,2,291,154,63,2
330,331,2,1,331,2,5,5,1,270,142,64,3
331,332,1,2,332,1,64,2,1,292,155,64,1
332,333,1,2,333,1,2,2,2,240,130,65,1
333,334,1,1,334,1,37,5,1,38,18,28,1
334,335,2,2,335,2,5,1,1,293,156,28,1
335,336,1,1,336,1,5,2,1,294,26,28,1
336,337,1,2,337,1,29,1,1,141,91,28,1
337,338,2,2,338,2,67,2,1,285,152,66,2
338,339,2,1,339,1,34,2,1,295,5,67,1
339,340,1,2,340,1,34,2,1,296,22,67,1
340,341,2,3,341,1,7,1,2,138,20,27,1
341,342,2,2,342,2,43,3,3,27,24,8,1
342,343,1,3,343,1,18,2,1,297,17,15,1
343,344,1,3,344,1,38,2,1,298,17,15,1
344,345,1,3,345,1,63,2,1,299,17,15,1
345,346,2,3,346,2,43,2,1,300,17,15,1
346,347,2,3,347,2,21,2,1,301,17,68,1
347,348,2,1,348,2,5,1,1,302,96,68,1
348,349,2,1,349,1,26,1,2,303,157,68,1
349,350,1,1,350,1,23,2,1,304,52,68,1
350,351,1,1,351,1,42,2,1,305,158,68,1
351,352,1,2,352,1,5,2,1,306,159,68,1
352,353,1,1,353,1,17,1,2,307,33,29,2
353,354,1,1,354,1,38,1,1,49,40,29,1
354,355,1,1,355,1,5,2,1,308,19,29,2
355,356,1,1,356,1,18,2,1,309,60,29,1
356,357,2,2,357,2,1,2,2,155,99,29,1
357,358,1,3,358,2,2,2,1,310,17,69,1
358,359,2,1,359,2,5,2,1,311,25,69,3
359,360,2,1,360,2,5,2,1,312,25,69,3
360,361,1,1,361,1,21,1,6,63,49,69,1
361,362,1,3,362,1,29,1,1,313,27,69,2
362,363,1,1,363,2,34,2,2,314,54,69,2
363,364,1,1,364,1,4,2,1,315,80,69,1
364,365,1,1,365,1,5,1,1,169,38,69,3
365,366,1,1,366,1,40,2,1,316,1,69,1
366,367,2,2,367,2,73,1,1,317,160,69,2
367,368,2,1,368,2,5,2,1,318,33,70,2
368,369,2,1,369,2,5,2,1,319,29,70,3
369,370,2,2,370,2,43,2,1,320,161,70,2
370,371,2,2,371,1,38,1,1,321,162,71,2
371,372,1,1,372,1,25,1,1,322,111,72,1
372,373,1,1,373,1,20,2,1,323,5,72,1
373,374,1,2,374,1,1,2,1,241,131,72,2
374,375,1,1,375,2,26,3,2,8,8,72,1
375,376,2,2,376,2,5,1,1,34,31,72,2
376,377,2,1,377,2,1,2,1,324,1,72,1
377,378,1,2,378,1,8,2,3,325,163,72,2
378,379,1,1,379,1,12,2,1,326,164,73,2
379,380,1,1,380,1,20,2,1,327,72,73,1
380,381,2,2,381,2,23,2,1,328,165,73,2
381,382,2,1,382,2,59,2,3,329,166,73,2
382,383,1,1,383,1,36,2,1,330,3,73,1
383,384,2,2,384,2,4,1,1,35,32,73,1
384,385,1,1,385,1,5,2,1,331,26,73,1
385,386,1,3,386,1,25,2,1,71,53,73,1
386,387,1,1,387,1,59,6,3,59,46,73,1
387,388,2,3,388,2,63,2,1,332,17,73,1
388,389,1,1,389,1,5,2,1,333,167,73,3
389,390,2,3,390,2,35,2,1,334,168,73,2
390,391,2,2,391,1,63,1,3,335,169,73,1
391,392,2,1,392,1,24,2,1,336,89,38,1
392,393,1,1,393,1,18,5,1,337,3,38,1
393,394,2,2,394,2,42,1,1,194,115,38,2
394,395,2,1,395,2,43,2,3,11,11,4,1
395,396,1,1,396,1,1,2,1,338,89,41,1
396,397,1,1,397,2,15,2,1,339,14,41,1
397,398,1,3,398,1,44,2,1,340,20,41,1
398,399,1,3,399,1,42,2,1,341,30,41,1
399,400,2,3,400,2,18,2,1,342,170,41,1
400,401,2,1,401,1,13,2,1,343,3,41,1
401,402,1,1,402,1,3,2,1,344,5,41,1
402,403,1,1,403,2,24,1,1,345,74,41,1
403,404,1,1,404,1,18,1,1,133,63,41,1
404,405,1,1,405,2,12,2,1,346,52,41,1
405,406,1,3,406,1,16,1,1,347,36,41,1
406,407,1,1,407,1,55,2,1,348,29,41,1
407,408,2,3,408,1,26,1,2,349,171,41,1
408,409,1,1,409,1,24,2,1,350,72,41,1
409,410,1,1,410,2,5,3,2,161,103,41,1
410,411,1,1,411,1,5,2,1,351,26,41,1
411,412,1,1,412,1,5,2,1,352,172,41,3
412,413,2,2,413,2,41,1,1,220,118,41,3
413,414,1,3,414,1,5,2,1,248,105,74,1
414,415,2,1,415,1,58,2,1,353,3,74,1
415,416,1,1,416,2,5,2,1,354,5,74,1
416,417,2,3,417,2,16,1,2,355,173,74,1
417,418,2,3,418,2,25,2,3,356,17,74,1
418,419,1,3,419,1,40,2,1,357,17,74,1
419,420,1,1,420,2,74,2,3,358,73,74,1
420,421,1,1,421,1,5,2,1,359,26,74,2
421,422,1,1,422,1,24,2,1,360,94,74,3
422,423,1,1,423,1,29,2,1,361,174,74,1
423,424,1,1,424,2,18,1,2,362,175,74,1
424,425,1,1,425,1,25,1,2,228,126,74,1
425,426,1,1,426,1,5,2,1,363,1,74,1
426,427,2,3,427,2,18,1,1,364,20,74,1
427,428,2,3,428,2,20,2,1,365,20,74,1
428,429,1,1,429,1,5,2,1,366,29,74,3
429,430,2,1,430,1,36,2,1,367,5,74,1
430,431,2,2,431,1,18,2,1,368,12,12,1
431,432,2,1,432,2,5,1,1,369,96,75,1
432,433,2,3,433,2,23,1,1,370,20,75,1
433,434,1,1,434,1,35,2,1,371,124,75,1
434,435,1,2,435,1,62,1,1,372,176,75,1
435,436,2,2,436,2,9,1,3,335,169,73,1
436,437,1,1,437,2,24,5,3,85,64,8,1
437,438,2,3,438,2,43,5,5,349,171,8,1
438,439,1,2,439,1,75,1,6,27,24,8,1
439,440,1,3,440,1,15,2,1,373,30,76,1
440,441,2,3,441,2,34,1,2,281,122,76,1
441,442,1,1,442,1,12,2,1,374,60,76,1
442,443,1,1,443,1,38,1,1,375,72,76,1
443,444,2,3,444,2,18,2,1,376,17,76,1
444,445,2,1,445,1,5,2,1,377,177,76,1
445,446,2,2,446,1,10,2,3,378,178,76,1
446,447,2,3,447,2,76,2,2,243,132,77,1
447,448,2,2,448,1,16,2,1,379,12,77,1
448,449,2,1,449,2,32,5,2,380,179,77,2
449,450,2,2,450,1,68,2,1,381,141,77,1
450,451,1,3,451,1,63,1,3,58,45,78,1
451,452,1,1,452,1,5,1,1,382,180,78,1
452,453,1,2,453,1,40,2,1,383,45,78,2
453,454,2,2,454,1,28,1,1,384,181,79,2
454,455,1,1,455,1,5,2,1,385,5,80,1
455,456,2,1,456,1,29,2,1,386,26,80,2
456,457,1,2,457,1,30,2,1,387,12,80,1
457,458,2,2,458,2,5,1,1,388,7,81,1
458,459,2,3,459,2,62,2,1,389,30,82,1
459,460,1,1,460,1,5,2,1,390,29,82,3
460,461,2,2,461,1,77,2,1,391,12,82,1
461,462,1,1,462,1,16,2,1,392,5,83,1
462,463,1,2,463,1,48,2,1,393,182,83,1
463,464,1,3,464,1,77,2,1,394,17,53,1
464,465,1,1,465,1,5,2,1,395,5,53,1
465,466,1,1,466,1,2,2,1,396,80,53,1
466,467,1,3,467,1,5,2,1,248,105,53,1
467,468,1,2,468,1,61,2,1,397,12,53,1
468,469,1,1,469,1,5,2,1,398,183,53,3
469,470,2,1,470,2,78,5,2,380,179,53,2
470,471,1,1,471,1,5,2,1,399,1,53,1
471,472,1,1,472,1,2,2,1,400,52,53,1
472,473,2,3,473,2,41,1,3,58,45,53,1
473,474,2,3,474,2,42,2,1,401,184,53,2
474,475,1,1,475,2,1,2,1,402,185,84,1
475,476,1,2,476,1,5,2,1,108,32,84,1
476,477,1,3,477,1,16,1,1,403,36,52,1
477,478,1,1,478,1,29,1,1,404,186,52,1
478,479,1,1,479,1,1,2,1,405,187,52,1
479,480,2,1,480,2,7,2,2,406,188,52,1
480,481,1,1,481,1,53,6,3,59,46,52,1
481,482,1,3,482,1,5,2,1,407,105,52,1
482,483,1,1,483,1,62,2,1,408,5,52,1
483,484,2,1,484,2,69,2,1,409,189,52,1
484,485,2,2,485,1,38,1,1,261,137,52,2
485,486,1,1,486,2,5,3,2,161,103,40,1
486,487,2,2,487,2,4,1,1,203,118,40,1
487,488,1,2,488,1,11,2,1,410,133,85,2
488,489,1,1,489,1,40,2,1,411,5,86,1
489,490,2,1,490,1,53,1,2,303,157,86,1
490,491,1,1,491,1,5,1,1,412,180,86,1
491,492,1,1,492,1,24,2,1,413,1,86,1
492,493,1,2,493,1,14,2,1,414,141,86,1
493,494,1,2,494,1,46,2,1,415,190,87,2
494,495,1,1,495,1,24,2,1,416,5,87,1
495,496,1,1,496,1,5,2,1,112,75,87,2
496,497,2,2,497,2,6,1,1,417,191,87,2
497,498,1,1,498,1,5,2,1,418,192,54,1
498,499,1,2,499,2,38,1,3,267,140,54,1
499,500,1,1,500,1,43,2,1,419,89,88,1
500,501,1,1,501,1,35,2,1,420,52,88,1
501,502,1,1,502,2,24,2,1,421,29,88,3
502,503,1,1,503,2,5,2,1,422,193,88,3
503,504,1,1,504,2,47,2,1,423,189,88,1
504,505,2,2,505,2,37,2,1,231,127,88,1
505,506,1,2,506,1,25,1,1,274,145,56,2
506,507,2,3,507,2,41,2,3,424,20,89,1
507,508,2,2,508,1,5,2,1,425,12,89,1
508,509,1,1,509,1,18,2,1,426,194,89,1
509,510,2,1,510,1,3,2,1,73,55,89,1
510,511,2,1,511,1,29,2,1,427,29,89,3
511,512,1,1,512,1,5,2,1,428,5,89,1
512,513,2,2,513,1,63,2,1,429,195,89,1
513,514,2,2,514,2,6,1,1,430,196,90,2
514,515,1,1,515,1,43,2,1,431,197,90,1
515,516,1,2,516,1,48,2,1,432,198,90,1
516,517,2,3,517,2,16,2,1,433,30,15,1
517,518,1,1,518,1,5,2,1,107,73,91,3
518,519,2,3,519,2,63,1,1,434,20,91,1
519,520,1,1,520,1,36,2,1,435,26,91,1
520,521,2,2,521,2,40,2,1,436,199,91,1
521,522,1,1,522,1,1,2,1,437,26,63,1
522,523,1,1,523,1,5,2,1,438,19,63,2
523,524,2,2,524,2,58,2,2,291,154,63,2
524,525,1,1,525,1,5,2,1,439,33,92,2
525,526,1,1,526,1,57,2,1,440,29,92,3
526,527,2,3,527,2,62,2,1,441,30,92,1
527,528,1,2,528,1,5,2,1,442,200,92,1
528,529,1,1,529,1,13,2,1,443,3,93,1
529,530,1,3,530,1,42,5,2,444,87,93,1
530,531,2,3,531,2,7,1,2,424,20,93,1
531,532,1,1,532,1,5,2,1,445,33,93,2
532,533,1,1,533,1,35,1,2,446,33,93,2
533,534,2,1,534,2,5,2,3,120,78,93,2
